Customer_id,Age,Income_level,Number_of_credit_cards,Education,Car_loans,Credit_rating
A00000038,21,Medium,5 or more,High school,More than 2,Bad
A00000039,21,Medium,5 or more,High school,None or 1,Bad
A00000040,24,Low,5 or more,High school,More than 2,Bad
A00000041,47,,5 or more,College,More than 2,Bad
A00000042,25,Medium,5 or more,High school,More than 2,Bad
A00000043,31,High,5 or more,High school,More than 2,Bad
A00000044,21,Low,5 or more,High school,More than 2,Bad
A00000045,21,Medium,5 or more,College,More than 2,Bad
A00000046,32,,5 or more,High school,More than 2,Bad
A00000047,31,Medium,5 or more,High school,More than 2,Bad
A00000048,23,Medium,5 or more,College,More than 2,Bad
A00000049,35,Medium,5 or more,High school,More than 2,Bad
A00000050,25,Medium,Less than 5,College,None or 1,Bad
A00000051,37,Low,5 or more,High school,More than 2,Bad
A00000052,31,Medium,5 or more,High school,More than 2,Bad
A00000053,33,Low,5 or more,High school,More than 2,Bad
A00000054,24,Low,5 or more,College,More than 2,Bad
A00000055,47,Low,5 or more,High school,More than 2,Bad
A00000056,28,Medium,5 or more,High school,More than 2,Bad
A00000057,46,Medium,5 or more,College,None or 1,Bad
A00000058,21,Low,5 or more,High school,More than 2,Bad
A00000059,21,Low,5 or more,College,None or 1,Bad
A00000060,24,Medium,5 or more,High school,More than 2,Bad
A00000061,27,Low,5 or more,High school,More than 2,Bad
A00000062,38,Low,5 or more,College,More than 2,Bad
A00000063,23,Medium,5 or more,College,More than 2,Bad
A00000064,22,Low,5 or more,College,More than 2,Bad
A00000065,26,Low,5 or more,High school,More than 2,Bad
A00000066,36,Medium,5 or more,High school,More than 2,Bad
A00000067,23,Medium,5 or more,College,More than 2,Bad
A00000068,,Low,5 or more,College,More than 2,Bad
A00000069,28,,5 or more,High school,More than 2,Bad
A00000070,44,Medium,5 or more,High school,None or 1,Bad
A00000071,25,Low,5 or more,College,More than 2,Bad
A00000072,22,Medium,5 or more,High school,More than 2,Bad
A00000073,28,Low,5 or more,High school,None or 1,Bad
A00000074,37,Medium,5 or more,College,More than 2,Bad
A00000075,24,Low,5 or more,College,More than 2,Bad
A00000076,36,Medium,5 or more,College,More than 2,Bad
A00000077,25,Low,5 or more,College,More than 2,Bad
A00000078,31,Medium,5 or more,High school,More than 2,Bad
A00000079,20,Low,5 or more,College,More than 2,Bad
A00000080,33,Medium,5 or more,College,More than 2,Bad
A00000081,21,Low,5 or more,High school,More than 2,Bad
A00000082,27,Low,Less than 5,High school,None or 1,Bad
A00000083,31,Low,5 or more,College,More than 2,Bad
A00000084,30,Medium,5 or more,College,More than 2,Bad
A00000085,51,Low,5 or more,High school,More than 2,Bad
A00000086,29,Low,5 or more,College,More than 2,Bad
A00000087,35,Medium,5 or more,College,More than 2,Bad
A00000088,36,Low,5 or more,College,None or 1,Bad
A00000089,24,,5 or more,High school,More than 2,Bad
A00000090,23,Medium,5 or more,High school,More than 2,Bad
A00000091,39,Medium,5 or more,High school,More than 2,Bad
A00000092,22,Medium,5 or more,College,More than 2,Bad
A00000093,24,Low,5 or more,High school,More than 2,Bad
A00000094,26,Medium,5 or more,College,More than 2,Bad
A00000095,27,Medium,5 or more,College,More than 2,Bad
A00000096,37,Medium,5 or more,High school,More than 2,Bad
A00000097,29,Low,5 or more,College,More than 2,Bad
A00000098,31,Low,5 or more,High school,More than 2,Bad
A00000099,22,Low,5 or more,High school,More than 2,Bad
A00000100,43,Low,5 or more,College,More than 2,Bad
A00000101,27,,Less than 5,High school,None or 1,Bad
A00000102,24,Low,5 or more,College,More than 2,Bad
A00000103,26,Low,5 or more,College,More than 2,Bad
A00000104,21,Medium,5 or more,High school,More than 2,Bad
A00000105,41,Medium,5 or more,High school,More than 2,Bad
A00000106,53,Low,5 or more,College,More than 2,Bad
A00000107,25,Medium,5 or more,College,More than 2,Bad
A00000108,28,Low,5 or more,College,More than 2,Bad
A00000109,30,Low,5 or more,High school,More than 2,Bad
A00000110,36,Low,5 or more,College,More than 2,Bad
A00000111,20,Medium,5 or more,High school,More than 2,Bad
A00000112,23,Low,5 or more,College,More than 2,Bad
A00000113,45,Low,5 or more,High school,More than 2,Bad
A00000114,44,Medium,5 or more,College,More than 2,Bad
A00000115,20,Medium,Less than 5,College,None or 1,Bad
A00000116,27,Low,5 or more,College,More than 2,Bad
A00000117,24,Low,5 or more,High school,More than 2,Bad
A00000118,37,,5 or more,High school,More than 2,Bad
A00000119,26,High,5 or more,College,None or 1,Bad
A00000120,25,Low,5 or more,College,More than 2,Bad
A00000121,32,Low,5 or more,High school,More than 2,Bad
A00000122,39,Medium,5 or more,College,None or 1,Bad
A00000123,24,Medium,5 or more,College,More than 2,Bad
A00000124,32,Low,5 or more,High school,More than 2,Bad
A00000125,43,Low,5 or more,College,More than 2,Bad
A00000126,22,Medium,5 or more,College,More than 2,Bad
A00000127,27,High,5 or more,College,More than 2,Bad
A00000128,40,High,5 or more,College,More than 2,Bad
A00000129,31,Medium,Less than 5,High school,None or 1,Bad
A00000130,24,Low,5 or more,High school,More than 2,Bad
A00000131,33,Low,5 or more,High school,More than 2,Bad
A00000132,40,Low,5 or more,High school,More than 2,Bad
A00000133,23,High,5 or more,High school,More than 2,Bad
A00000134,30,Low,Less than 5,High school,None or 1,Bad
A00000135,29,Low,Less than 5,High school,None or 1,Bad
A00000136,23,Low,5 or more,High school,More than 2,Bad
A00000137,31,Low,Less than 5,High school,None or 1,Bad
A00000138,33,Low,5 or more,High school,None or 1,Bad
A00000139,37,Medium,5 or more,College,More than 2,Bad
A00000140,39,Low,5 or more,College,More than 2,Bad
A00000141,22,Low,5 or more,High school,More than 2,Bad
A00000142,31,Low,5 or more,High school,More than 2,Bad
A00000143,40,Low,5 or more,High school,More than 2,Bad
A00000144,29,Low,5 or more,High school,More than 2,Bad
A00000145,22,Medium,5 or more,College,More than 2,Bad
A00000146,26,Low,5 or more,High school,More than 2,Bad
A00000147,21,Low,5 or more,College,More than 2,Bad
A00000148,44,Low,5 or more,High school,None or 1,Bad
A00000149,33,Low,5 or more,High school,More than 2,Bad
A00000150,28,Medium,5 or more,High school,More than 2,Bad
A00000151,29,Low,5 or more,College,More than 2,Bad
A00000152,45,Low,5 or more,College,None or 1,Bad
A00000153,22,High,5 or more,College,More than 2,Bad
A00000154,33,,5 or more,College,More than 2,Bad
A00000155,32,Low,5 or more,College,More than 2,Bad
A00000156,22,Medium,Less than 5,College,None or 1,Bad
A00000157,30,Medium,5 or more,High school,More than 2,Bad
A00000158,55,,5 or more,High school,More than 2,Bad
A00000159,30,Medium,Less than 5,High school,None or 1,Bad
A00000160,20,Low,5 or more,College,More than 2,Bad
A00000161,29,Low,5 or more,College,More than 2,Bad
A00000162,38,Low,5 or more,High school,More than 2,Bad
A00000163,29,Low,5 or more,College,More than 2,Bad
A00000164,36,Low,5 or more,High school,None or 1,Bad
A00000165,21,Medium,5 or more,High school,None or 1,Bad
A00000166,25,,5 or more,High school,More than 2,Bad
A00000167,31,Low,5 or more,College,More than 2,Bad
A00000168,40,Low,5 or more,College,More than 2,Bad
A00000169,29,Medium,5 or more,College,More than 2,Bad
A00000170,23,Low,5 or more,College,More than 2,Bad
A00000171,33,Low,5 or more,College,More than 2,Bad
A00000172,43,Low,5 or more,College,None or 1,Bad
A00000173,34,Medium,5 or more,High school,None or 1,Bad
A00000174,41,Medium,Less than 5,College,None or 1,Bad
A00000175,34,High,5 or more,High school,None or 1,Bad
A00000176,25,Medium,5 or more,High school,More than 2,Bad
A00000177,26,Low,5 or more,College,More than 2,Bad
A00000178,32,Low,5 or more,College,More than 2,Bad
A00000179,42,Medium,5 or more,College,More than 2,Bad
A00000180,23,Medium,5 or more,High school,None or 1,Bad
A00000181,25,Low,5 or more,College,More than 2,Bad
A00000182,24,Medium,5 or more,High school,More than 2,Bad
A00000183,26,Medium,5 or more,High school,More than 2,Bad
A00000184,44,Medium,Less than 5,College,None or 1,Bad
A00000185,22,Low,5 or more,High school,More than 2,Bad
A00000186,38,Medium,5 or more,College,More than 2,Bad
A00000187,54,Low,5 or more,College,More than 2,Bad
A00000188,30,Medium,5 or more,High school,More than 2,Bad
A00000189,27,Medium,5 or more,College,More than 2,Bad
A00000190,24,Medium,5 or more,High school,More than 2,Bad
A00000191,34,Low,Less than 5,High school,None or 1,Bad
A00000192,25,Medium,5 or more,High school,More than 2,Bad
A00000193,34,Medium,5 or more,College,More than 2,Bad
A00000194,36,Medium,Less than 5,High school,None or 1,Bad
A00000195,24,Low,5 or more,College,More than 2,Bad
A00000196,44,Low,5 or more,College,More than 2,Bad
A00000197,23,High,5 or more,College,More than 2,Bad
A00000198,48,High,5 or more,College,More than 2,Bad
A00000199,38,Low,5 or more,High school,None or 1,Bad
A00000200,24,Medium,5 or more,College,More than 2,Bad
A00000201,28,Medium,5 or more,High school,More than 2,Bad
A00000202,21,Medium,5 or more,High school,None or 1,Bad
A00000203,28,Medium,5 or more,High school,More than 2,Bad
A00000204,24,Low,5 or more,High school,More than 2,Bad
A00000205,21,Medium,Less than 5,College,More than 2,Bad
A00000206,35,Low,5 or more,College,More than 2,Bad
A00000207,33,Low,5 or more,College,More than 2,Bad
A00000208,30,Low,5 or more,College,More than 2,Bad
A00000209,22,Medium,5 or more,High school,More than 2,Bad
A00000210,23,Low,5 or more,High school,More than 2,Bad
A00000211,32,Medium,5 or more,High school,None or 1,Bad
A00000212,23,Low,5 or more,College,More than 2,Bad
A00000213,37,Low,5 or more,College,More than 2,Bad
A00000214,29,Medium,5 or more,College,More than 2,Bad
A00000215,52,,5 or more,High school,None or 1,Bad
A00000216,27,Medium,5 or more,College,More than 2,Bad
A00000217,41,Low,5 or more,College,More than 2,Bad
A00000218,41,Medium,5 or more,High school,More than 2,Bad
A00000219,25,Medium,5 or more,High school,More than 2,Bad
A00000220,30,Medium,5 or more,High school,More than 2,Bad
A00000221,21,Low,5 or more,College,More than 2,Bad
A00000222,30,Medium,5 or more,College,None or 1,Bad
A00000223,21,Low,5 or more,High school,More than 2,Bad
A00000224,27,Medium,Less than 5,High school,None or 1,Bad
A00000225,24,Low,5 or more,High school,More than 2,Bad
A00000226,25,Medium,5 or more,College,More than 2,Bad
A00000227,26,Low,5 or more,High school,More than 2,Bad
A00000228,32,Medium,5 or more,College,More than 2,Bad
A00000229,33,Low,5 or more,College,More than 2,Bad
A00000230,37,Medium,5 or more,High school,More than 2,Bad
A00000231,28,Low,5 or more,High school,More than 2,Bad
A00000232,25,Medium,5 or more,High school,More than 2,Bad
A00000233,35,Medium,5 or more,High school,More than 2,Bad
A00000234,33,Medium,5 or more,College,More than 2,Bad
A00000235,35,Medium,5 or more,High school,More than 2,Bad
A00000236,43,Medium,5 or more,College,More than 2,Bad
A00000237,24,Low,5 or more,College,More than 2,Bad
A00000238,25,,5 or more,High school,More than 2,Bad
A00000239,27,Low,5 or more,College,More than 2,Bad
A00000240,41,Medium,5 or more,High school,More than 2,Bad
A00000241,20,Low,Less than 5,College,None or 1,Bad
A00000242,35,Low,5 or more,High school,More than 2,Bad
A00000243,44,Low,5 or more,College,More than 2,Bad
A00000244,39,Medium,5 or more,High school,More than 2,Bad
A00000245,34,Medium,5 or more,High school,More than 2,Bad
A00000246,23,,5 or more,High school,More than 2,Bad
A00000247,47,Low,5 or more,College,More than 2,Bad
A00000248,28,High,5 or more,College,More than 2,Bad
A00000249,40,Medium,5 or more,High school,More than 2,Bad
A00000250,21,Medium,Less than 5,College,None or 1,Bad
A00000251,27,Low,5 or more,College,More than 2,Bad
A00000252,39,Medium,Less than 5,High school,None or 1,Bad
A00000253,36,High,5 or more,College,More than 2,Bad
A00000254,28,Medium,5 or more,College,More than 2,Bad
A00000255,37,Medium,Less than 5,High school,None or 1,Bad
A00000256,23,Medium,Less than 5,College,None or 1,Bad
A00000257,37,Medium,Less than 5,College,None or 1,Bad
A00000258,35,High,5 or more,High school,More than 2,Bad
A00000259,39,Medium,5 or more,College,More than 2,Bad
A00000260,29,Medium,5 or more,College,More than 2,Bad
A00000261,22,Medium,5 or more,College,More than 2,Bad
A00000262,25,Low,5 or more,College,More than 2,Bad
A00000263,36,Medium,5 or more,High school,More than 2,Bad
A00000264,34,Low,5 or more,College,More than 2,Bad
A00000265,20,Medium,5 or more,High school,More than 2,Bad
A00000266,25,Low,Less than 5,High school,None or 1,Bad
A00000267,23,Medium,Less than 5,High school,None or 1,Bad
A00000268,23,Low,5 or more,High school,More than 2,Bad
A00000269,32,Low,5 or more,High school,More than 2,Bad
A00000270,41,Medium,5 or more,High school,More than 2,Bad
A00000271,26,Medium,5 or more,College,More than 2,Bad
A00000272,20,Low,5 or more,College,More than 2,Bad
A00000273,21,Low,5 or more,High school,More than 2,Bad
A00000274,22,Medium,5 or more,High school,More than 2,Bad
A00000275,23,Medium,5 or more,College,More than 2,Bad
A00000276,26,Medium,5 or more,College,More than 2,Bad
A00000277,26,Medium,Less than 5,College,None or 1,Bad
A00000278,29,Medium,5 or more,High school,More than 2,Bad
A00000279,30,Medium,5 or more,College,More than 2,Bad
A00000280,22,Medium,5 or more,High school,More than 2,Bad
A00000281,22,Medium,5 or more,College,More than 2,Bad
A00000282,27,High,5 or more,High school,More than 2,Bad
A00000283,29,Low,5 or more,High school,More than 2,Bad
A00000284,31,High,5 or more,College,More than 2,Bad
A00000285,23,Low,5 or more,College,None or 1,Bad
A00000286,26,Low,5 or more,College,None or 1,Bad
A00000287,29,Medium,5 or more,College,More than 2,Bad
A00000288,37,Medium,Less than 5,High school,None or 1,Bad
A00000289,28,Medium,5 or more,High school,More than 2,Bad
A00000290,39,Low,5 or more,College,More than 2,Bad
A00000291,23,High,5 or more,High school,More than 2,Bad
A00000292,33,Low,5 or more,College,More than 2,Bad
A00000293,28,Low,5 or more,College,None or 1,Bad
A00000294,25,Medium,5 or more,High school,More than 2,Bad
A00000295,20,Medium,5 or more,High school,More than 2,Bad
A00000296,41,Low,5 or more,High school,More than 2,Bad
A00000297,32,Low,Less than 5,College,More than 2,Bad
A00000298,36,Medium,5 or more,High school,More than 2,Bad
A00000299,21,Medium,5 or more,High school,More than 2,Bad
A00000300,22,Low,5 or more,High school,More than 2,Bad
A00000301,33,Low,5 or more,High school,More than 2,Bad
A00000302,34,Low,5 or more,High school,More than 2,Bad
A00000303,25,Medium,5 or more,High school,None or 1,Bad
A00000304,22,Medium,5 or more,College,More than 2,Bad
A00000305,28,High,5 or more,High school,More than 2,Bad
A00000306,27,Medium,5 or more,High school,More than 2,Bad
A00000307,29,Low,5 or more,College,None or 1,Bad
A00000308,20,Low,Less than 5,High school,None or 1,Bad
A00000309,23,Medium,5 or more,College,More than 2,Bad
A00000310,22,Low,5 or more,College,None or 1,Bad
A00000311,26,Medium,5 or more,High school,More than 2,Bad
A00000312,35,,5 or more,College,More than 2,Bad
A00000313,41,Medium,5 or more,High school,None or 1,Bad
A00000314,35,Low,5 or more,High school,More than 2,Bad
A00000315,27,Low,5 or more,College,More than 2,Bad
A00000316,21,Medium,5 or more,High school,More than 2,Bad
A00000317,45,Medium,5 or more,College,More than 2,Bad
A00000318,34,Low,5 or more,High school,More than 2,Bad
A00000319,31,Medium,5 or more,High school,More than 2,Bad
A00000320,31,Low,5 or more,College,More than 2,Bad
A00000321,35,Low,Less than 5,High school,None or 1,Bad
A00000322,36,Medium,5 or more,High school,More than 2,Bad
A00000323,28,Medium,5 or more,High school,More than 2,Bad
A00000324,32,Medium,5 or more,College,More than 2,Bad
A00000325,31,Low,5 or more,College,More than 2,Bad
A00000326,32,Medium,5 or more,High school,More than 2,Bad
A00000327,23,Low,5 or more,High school,More than 2,Bad
A00000328,32,Low,5 or more,High school,More than 2,Bad
A00000329,34,Low,5 or more,College,None or 1,Bad
A00000330,22,Medium,5 or more,College,More than 2,Bad
A00000331,27,Medium,5 or more,College,More than 2,Bad
A00000332,36,Low,5 or more,High school,More than 2,Bad
A00000333,28,Medium,Less than 5,High school,More than 2,Bad
A00000334,27,Medium,5 or more,College,More than 2,Bad
A00000335,34,Medium,5 or more,High school,More than 2,Bad
A00000336,29,Low,5 or more,College,More than 2,Bad
A00000337,34,Low,5 or more,College,More than 2,Bad
A00000338,32,Low,5 or more,College,More than 2,Bad
A00000339,25,Medium,5 or more,High school,More than 2,Bad
A00000340,29,Low,5 or more,High school,More than 2,Bad
A00000341,36,Medium,Less than 5,High school,More than 2,Bad
A00000342,27,Medium,Less than 5,College,None or 1,Bad
A00000343,34,Low,5 or more,College,More than 2,Bad
A00000344,27,Medium,5 or more,College,More than 2,Bad
A00000345,27,Medium,5 or more,College,More than 2,Bad
A00000346,22,High,5 or more,College,None or 1,Bad
A00000347,30,Medium,Less than 5,College,None or 1,Bad
A00000348,22,Medium,5 or more,College,More than 2,Bad
A00000349,23,Medium,5 or more,High school,More than 2,Bad
A00000350,39,Medium,5 or more,College,More than 2,Bad
A00000351,32,Medium,5 or more,High school,More than 2,Bad
A00000352,31,Low,5 or more,High school,More than 2,Bad
A00000353,34,Medium,5 or more,College,More than 2,Bad
A00000354,30,Low,5 or more,High school,More than 2,Bad
A00000355,26,Medium,5 or more,High school,More than 2,Bad
A00000356,21,Low,5 or more,College,None or 1,Bad
A00000357,46,Low,Less than 5,College,None or 1,Bad
A00000358,38,Low,5 or more,High school,More than 2,Bad
A00000359,31,Low,5 or more,High school,More than 2,Bad
A00000360,30,Medium,5 or more,High school,More than 2,Bad
A00000361,57,Low,5 or more,High school,More than 2,Bad
A00000362,40,Medium,5 or more,High school,More than 2,Bad
A00000363,52,Medium,Less than 5,College,None or 1,Bad
A00000364,25,Low,5 or more,College,More than 2,Bad
A00000365,33,Low,5 or more,College,More than 2,Bad
A00000366,37,High,5 or more,College,More than 2,Bad
A00000367,24,Low,5 or more,High school,More than 2,Bad
A00000368,24,Medium,5 or more,High school,More than 2,Bad
A00000369,27,Medium,5 or more,High school,More than 2,Bad
A00000370,32,High,Less than 5,College,None or 1,Bad
A00000371,23,Low,5 or more,High school,More than 2,Bad
A00000372,25,Medium,5 or more,College,More than 2,Bad
A00000373,32,Medium,5 or more,College,More than 2,Bad
A00000374,,Medium,5 or more,College,More than 2,Bad
A00000375,33,Medium,Less than 5,College,None or 1,Bad
A00000376,31,Low,5 or more,High school,None or 1,Bad
A00000377,26,High,5 or more,High school,None or 1,Bad
A00000378,30,Low,5 or more,High school,More than 2,Bad
A00000379,30,Low,5 or more,College,More than 2,Bad
A00000380,40,Medium,5 or more,College,More than 2,Bad
A00000381,23,Medium,5 or more,High school,More than 2,Bad
A00000382,26,Medium,Less than 5,College,None or 1,Bad
A00000383,34,Medium,5 or more,High school,More than 2,Bad
A00000384,28,Medium,5 or more,College,More than 2,Bad
A00000385,24,Medium,5 or more,College,More than 2,Bad
A00000386,30,Medium,Less than 5,High school,None or 1,Bad
A00000387,38,Low,5 or more,College,More than 2,Bad
A00000388,44,Medium,5 or more,High school,More than 2,Bad
A00000389,25,Medium,5 or more,College,More than 2,Bad
A00000390,33,Medium,5 or more,High school,More than 2,Bad
A00000391,23,Medium,5 or more,High school,More than 2,Bad
A00000392,22,Medium,5 or more,High school,More than 2,Bad
A00000393,25,Medium,Less than 5,High school,None or 1,Bad
A00000394,38,Medium,5 or more,College,More than 2,Bad
A00000395,27,Low,5 or more,High school,More than 2,Bad
A00000396,42,Low,5 or more,High school,More than 2,Bad
A00000397,35,Low,5 or more,College,More than 2,Bad
A00000398,32,Low,5 or more,High school,More than 2,Bad
A00000399,34,Low,5 or more,High school,More than 2,Bad
A00000400,23,Low,5 or more,High school,More than 2,Bad
A00000401,33,Medium,5 or more,High school,More than 2,Bad
A00000402,29,Medium,5 or more,College,More than 2,Bad
A00000403,40,Medium,5 or more,High school,More than 2,Bad
A00000404,25,Low,5 or more,High school,More than 2,Bad
A00000405,45,Medium,5 or more,College,More than 2,Bad
A00000406,26,Low,5 or more,College,More than 2,Bad
A00000407,28,Low,5 or more,High school,More than 2,Bad
A00000408,32,Medium,Less than 5,College,None or 1,Bad
A00000409,37,Medium,Less than 5,College,None or 1,Bad
A00000410,30,Low,5 or more,High school,More than 2,Bad
A00000411,28,Low,5 or more,High school,More than 2,Bad
A00000412,24,Low,5 or more,High school,More than 2,Bad
A00000413,23,Low,5 or more,College,More than 2,Bad
A00000414,24,Low,5 or more,High school,More than 2,Bad
A00000415,22,Low,5 or more,High school,More than 2,Bad
A00000416,35,Low,Less than 5,College,None or 1,Bad
A00000417,22,High,5 or more,High school,None or 1,Bad
A00000418,44,Low,5 or more,High school,More than 2,Bad
A00000419,20,Low,Less than 5,College,More than 2,Bad
A00000420,25,Medium,5 or more,College,More than 2,Bad
A00000421,23,Low,5 or more,High school,More than 2,Bad
A00000422,25,Medium,5 or more,College,None or 1,Bad
A00000423,27,Medium,5 or more,High school,More than 2,Bad
A00000424,30,Low,5 or more,College,More than 2,Bad
A00000425,37,Medium,5 or more,College,More than 2,Bad
A00000426,36,Low,5 or more,College,More than 2,Bad
A00000427,31,Medium,5 or more,High school,More than 2,Bad
A00000428,31,Medium,5 or more,College,More than 2,Bad
A00000429,26,Medium,5 or more,College,More than 2,Bad
A00000430,32,Low,5 or more,College,More than 2,Bad
A00000431,37,Medium,5 or more,High school,None or 1,Bad
A00000432,36,Low,5 or more,College,More than 2,Bad
A00000433,25,Medium,Less than 5,College,None or 1,Bad
A00000434,21,Low,Less than 5,High school,None or 1,Bad
A00000435,32,High,Less than 5,High school,More than 2,Bad
A00000436,30,Low,5 or more,High school,More than 2,Bad
A00000437,44,Medium,5 or more,High school,More than 2,Bad
A00000438,22,Medium,5 or more,High school,More than 2,Bad
A00000439,31,Low,5 or more,College,None or 1,Bad
A00000440,27,Low,5 or more,College,More than 2,Bad
A00000441,30,Low,5 or more,College,None or 1,Bad
A00000442,23,Medium,Less than 5,College,None or 1,Bad
A00000443,26,High,5 or more,High school,None or 1,Bad
A00000444,29,Low,5 or more,College,More than 2,Bad
A00000445,21,Low,5 or more,College,More than 2,Bad
A00000446,31,High,5 or more,High school,More than 2,Bad
A00000447,38,Medium,Less than 5,College,None or 1,Bad
A00000448,24,Low,5 or more,College,More than 2,Bad
A00000449,27,Low,5 or more,College,More than 2,Bad
A00000450,39,Low,5 or more,College,More than 2,Bad
A00000451,31,Medium,5 or more,High school,More than 2,Bad
A00000452,22,Medium,Less than 5,High school,None or 1,Bad
A00000453,35,Medium,5 or more,High school,More than 2,Bad
A00000454,39,Medium,5 or more,High school,More than 2,Bad
A00000455,28,Low,5 or more,High school,More than 2,Bad
A00000456,33,Medium,5 or more,High school,More than 2,Bad
A00000457,41,Medium,5 or more,High school,More than 2,Bad
A00000458,41,Medium,5 or more,High school,More than 2,Bad
A00000459,41,Low,5 or more,High school,More than 2,Bad
A00000460,33,Low,5 or more,High school,More than 2,Bad
A00000461,35,Medium,5 or more,College,More than 2,Bad
A00000462,24,Medium,5 or more,High school,More than 2,Bad
A00000463,43,High,5 or more,College,More than 2,Bad
A00000464,22,Low,Less than 5,High school,None or 1,Bad
A00000465,27,Medium,5 or more,High school,More than 2,Bad
A00000466,28,Low,5 or more,High school,More than 2,Bad
A00000467,37,Low,5 or more,College,More than 2,Bad
A00000468,28,Low,5 or more,College,More than 2,Bad
A00000469,24,Low,5 or more,College,More than 2,Bad
A00000470,23,Medium,5 or more,College,More than 2,Bad
A00000471,38,Low,5 or more,High school,More than 2,Bad
A00000472,27,Medium,5 or more,High school,More than 2,Bad
A00000473,37,Low,5 or more,High school,More than 2,Bad
A00000474,28,High,Less than 5,High school,None or 1,Bad
A00000475,33,Low,5 or more,High school,More than 2,Bad
A00000476,26,High,5 or more,College,More than 2,Bad
A00000477,26,Medium,5 or more,High school,None or 1,Bad
A00000478,28,Medium,Less than 5,College,None or 1,Bad
A00000479,30,High,5 or more,High school,More than 2,Bad
A00000480,34,Medium,Less than 5,High school,None or 1,Bad
A00000481,27,Low,5 or more,College,More than 2,Bad
A00000482,39,Low,5 or more,College,More than 2,Bad
A00000483,27,Medium,5 or more,High school,More than 2,Bad
A00000484,38,High,5 or more,College,More than 2,Bad
A00000485,30,Medium,5 or more,High school,More than 2,Bad
A00000486,30,Low,5 or more,College,More than 2,Bad
A00000487,25,Medium,Less than 5,College,None or 1,Bad
A00000488,21,Low,Less than 5,High school,More than 2,Bad
A00000489,21,Medium,5 or more,High school,More than 2,Bad
A00000490,38,High,5 or more,High school,More than 2,Bad
A00000491,37,Low,5 or more,College,More than 2,Bad
A00000492,24,Low,5 or more,High school,More than 2,Bad
A00000493,23,Medium,5 or more,College,None or 1,Bad
A00000494,29,Low,5 or more,High school,None or 1,Bad
A00000495,24,Low,5 or more,High school,More than 2,Bad
A00000496,39,Medium,5 or more,College,More than 2,Bad
A00000497,22,Medium,Less than 5,High school,None or 1,Bad
A00000498,35,Low,5 or more,College,More than 2,Bad
A00000499,34,Low,5 or more,High school,More than 2,Bad
A00000500,31,Low,5 or more,High school,More than 2,Bad
A00000501,39,Medium,5 or more,College,More than 2,Bad
A00000502,37,,5 or more,College,More than 2,Bad
A00000503,38,High,5 or more,College,None or 1,Bad
A00000504,21,Low,5 or more,College,None or 1,Bad
A00000505,21,Low,5 or more,High school,None or 1,Bad
A00000506,23,Medium,5 or more,High school,More than 2,Bad
A00000507,23,Low,5 or more,College,More than 2,Bad
A00000508,38,Low,5 or more,College,More than 2,Bad
A00000509,29,Low,5 or more,College,More than 2,Bad
A00000510,27,Low,5 or more,High school,More than 2,Bad
A00000511,40,Medium,5 or more,College,More than 2,Bad
A00000512,23,Medium,5 or more,High school,More than 2,Bad
A00000513,28,Medium,5 or more,High school,More than 2,Bad
A00000514,29,Medium,5 or more,College,More than 2,Bad
A00000515,25,Medium,Less than 5,College,None or 1,Bad
A00000516,22,Low,5 or more,High school,More than 2,Bad
